agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/AAA_dynasty_of_the_damned		
general	wh2_dlc11_vmp_the_barrow_legion	jiang_xiu_necro
general	wh2_dlc16_vmp_lahmian_sisterhood	jiang_xiu_necro
general	wh2_main_vmp_necrarch_brotherhood	jiang_xiu_necro
general	wh2_main_vmp_strygos_empire	jiang_xiu_necro
general	wh2_main_vmp_the_silver_host	jiang_xiu_necro
general	wh3_dlc21_vmp_jiangshi_rebels	jiang_xiu_necro
general	wh3_main_ie_vmp_sires_of_mourkain	jiang_xiu_necro
general	wh3_main_vmp_caravan_of_blue_roses	jiang_xiu_necro
general	wh3_main_vmp_lahmian_sisterhood	jiang_xiu_necro
general	wh3_main_vmp_nagashizzar	jiang_xiu_necro
general	wh_main_vmp_mousillon	jiang_xiu_necro
general	wh_main_vmp_rival_sylvanian_vamps	jiang_xiu_necro
general	wh_main_vmp_schwartzhafen	jiang_xiu_necro
general	wh_main_vmp_vampire_counts_qb1	jiang_xiu_necro
general	wh_main_vmp_vampire_counts_qb2	jiang_xiu_necro
general	wh_main_vmp_vampire_counts_qb3	jiang_xiu_necro
general	wh_main_vmp_vampire_counts	jiang_xiu_necro
general	wh_main_vmp_vampire_rebels	jiang_xiu_necro
general	wh_main_vmp_waldenhof	jiang_xiu_necro
dignitary	wh3_dlc21_vmp_jiangshi_rebels	astroliche_theak_01
general	wh3_dlc21_vmp_jiangshi_rebels	jade_shugengan_01
champion	wh3_dlc21_vmp_jiangshi_rebels	dotd_wight_king
wizard	wh3_dlc21_vmp_jiangshi_rebels	dotd_vmp_necromancer
general	wh3_dlc21_vmp_jiangshi_rebels	dotd_master_necromancer
champion	wh3_dlc21_vmp_jiangshi_rebels	wh2_dlc11_cst_mourngul
champion	wh2_dlc11_vmp_the_barrow_legion	wh2_dlc11_cst_mourngul
champion	wh2_dlc16_vmp_lahmian_sisterhood	wh2_dlc11_cst_mourngul
champion	wh2_main_vmp_necrarch_brotherhood	wh2_dlc11_cst_mourngul
champion	wh2_main_vmp_strygos_empire	wh2_dlc11_cst_mourngul
champion	wh2_main_vmp_the_silver_host	wh2_dlc11_cst_mourngul
champion	wh3_main_ie_vmp_sires_of_mourkain	wh2_dlc11_cst_mourngul
champion	wh3_main_vmp_caravan_of_blue_roses	wh2_dlc11_cst_mourngul
champion	wh3_main_vmp_lahmian_sisterhood	wh2_dlc11_cst_mourngul
champion	wh3_main_vmp_nagashizzar	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_mousillon	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_rival_sylvanian_vamps	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_schwartzhafen	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_vampire_counts_qb1	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_vampire_counts_qb2	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_vampire_counts_qb3	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_vampire_counts	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_vampire_rebels	wh2_dlc11_cst_mourngul
champion	wh_main_vmp_waldenhof	wh2_dlc11_cst_mourngul
