battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index
#land_units_to_battle_personalities_junctions_tables;1;db/land_units_to_battle_personalities_junctions_tables/dust_DotD_cart				
jiantg_corpsemaster_corpse_cart_rider1	jiang_vmp_veh_corpse_cart_0	autonomous_rider	ap_crewposition_0	-1
jiantg_corpsemaster_corpse_cart_rider1	jiang_vmp_veh_corpse_cart_1	autonomous_rider	ap_crewposition_0	-1
jiantg_corpsemaster_corpse_cart_rider1	jiang_vmp_veh_corpse_cart_2	autonomous_rider	ap_crewposition_0	-1
jiang_master_necromancer_corpse_cart_rider1	jiangshi_cha_master_necromancer_1	autonomous_rider	ap_crewposition_0	-1
jiang_master_necromancer_corpse_cart_rider1	jiangshi_cha_master_necromancer_2	autonomous_rider	ap_crewposition_0	-1
jiang_master_necromancer_corpse_cart_rider1	jiangshi_cha_master_necromancer_3	autonomous_rider	ap_crewposition_0	-1
jiang_necromancer_corpse_cart_rider1	jiangshi_cha_necromancer_1	autonomous_rider	ap_crewposition_0	-1
jiang_necromancer_corpse_cart_rider1	jiangshi_cha_necromancer_2	autonomous_rider	ap_crewposition_0	-1
jiang_necromancer_corpse_cart_rider1	jiangshi_cha_necromancer_3	autonomous_rider	ap_crewposition_0	-1
