ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/astroliche_+	
jiangshi_dark_magic	astroliche_theak_01
jiangshi_dark_magic	astroliche_theak_02
jiangshi_dark_magic	astroliche_theak_03
jiangshi_dark_magic	astroliche_theak_04
jiangshi_yuwei_magic	yuwei_feng_4
jiangshi_yuwei_magic	yuwei_feng_0
jiangshi_yuwei_magic	yuwei_feng_5
jiangshi_yuwei_magic	yuwei_zombie_dragon
wh3_main_lore_of_yin	jade_blooded_shugengan_01
wh3_main_lore_of_yin	jade_blooded_shugengan_02
wh3_main_lore_of_yin	jade_blooded_shugengan_03
